"E_km","N_km","group"
754.984300336912,6836.84931252656,1
754.86786119,6837.31787259,1
754.86173645,6837.4233069,1
754.86198905,6837.57238438,1
754.87988975,6837.86349248,1
754.93034916,6838.14590373,1
755.06809477,6838.60381673,1
755.07963789,6838.64336861,1
755.21746477,6839.13051584,1
755.27997035,6839.41288698,1
755.2941897,6839.50101327,1
755.32422376,6839.64353052,1
755.37073116,6839.96914844,1
755.40183813,6840.37746496,1
755.40885774,6840.53544747,1
755.41764341,6841.22336571,1
755.41324476,6841.40692057,1
755.37850528,6841.97863723,1
755.37739013,6842.10878725,1
755.39522981,6842.51813712,1
755.39281042,6842.78167025,1
755.3622741,6843.27424842,1
755.35988295,6843.35443347,1
755.36044586,6843.60018297,1
755.43230246,6843.99395956,1
755.47285199,6844.42500984,1
755.47355816,6844.5245232,1
755.48673228,6844.73346499,1
755.477504351584,6844.73404682563,1
755.46152964,6845.36148638,1
755.44969424,6845.43053812,1
755.45138542,6845.46997487,1
755.45264396,6845.49394393,1
755.47779357,6845.89867259,1
755.48237732,6846.08755649,1
755.47548278,6846.59694333,1
755.48015304,6846.72307947,1
755.52988541,6847.28966309,1
755.58407361,6847.85204791,1
755.59959225,6847.96168666,1
755.63284762,6848.13937752,1
755.65837035,6848.8915395,1
755.65499121,6848.92024616,1
755.65487101,6848.92187624,1
755.62089742,6849.18753241,1
755.60116172,6849.29550734,1
755.600358,6849.30824987,1
755.60959379,6849.55721154,1
755.62702104,6849.68348011,1
755.64235396,6849.8236657,1
755.70569558,6850.60652494,1
755.71565423,6850.6924687,1
755.83303025,6851.46918005,1
755.86611234,6851.62231968,1
755.98739539,6852.05130769,1
756.10115719,6852.32448427,1
756.22774804,6852.54886248,1
756.29110157,6852.62373961,1
756.72254453,6853.35842738,1
756.88221181,6854.19533568,1
756.75155879,6855.03726141,1
756.72288696,6855.12230032,1
756.71390909,6855.19155646,1
756.65218971,6855.50696835,1
756.53248953,6855.96139251,1
756.52364237,6855.99407909,1
756.42887329,6856.33503827,1
756.39501455,6856.49854779,1
756.35596625,6856.78121616,1
756.34791056939,6856.86007231476,1
756.36778404,6857.19083873,1
756.45998857,6857.84619968,1
756.429770849416,6857.85045109413,1
756.4840308,6858.06232867,1
756.48551108,6858.0887901,1
756.5049409,6858.2491216,1
756.54469202,6858.4611697,1
756.58993684,6858.63036464,1
756.636865008782,6859.0406275927,1
756.65840202,6859.03824507,1
756.67229903,6859.16386821,1
756.692853351478,6859.28879456491,1
756.74870448987,6859.44029245903,1
756.76249048,6859.45118425,1
756.879458523595,6859.56181534249,1
756.8809446,6859.56009027,1
757.29841379,6859.91972218,1
757.7692161,6860.4612114,1
758.06681878,6861.11412642,1
758.1667058,6861.82468111,1
758.0606486,6862.53434106,1
758.047023223658,6862.57961113671,1
758.04341855,6862.60933712,1
757.98124604894,6862.94278499768,1
757.990938038365,6863.08585573339,1
758.044081775782,6863.16445950084,1
758.34497422324,6863.39040662094,1
758.556115542058,6863.44467696738,1
758.88814546,6863.39666949,1
758.9368912,6863.39011032,1
759.03590357,6863.37777768,1
759.72937249,6863.38834713,1
760.39325229,6863.58903212,1
760.4207207,6863.60172012,1
760.866269019064,6863.90689632672,1
760.88077821,6863.8868835,1
761.16252667,6864.09114961,1
761.259549256606,6864.1260326644,1
761.37280474,6864.13279561,1
761.783314595092,6864.19918654999,1
761.78447077,6864.19377426,1
761.94231501,6864.22749299,1
762.55978051,6864.44724544,1
762.60994008,6864.47293815,1
762.81493237,6864.59048692,1
763.13738949,6864.7962323,1
763.38341288,6864.97516428,1
763.50497862,6865.07543387,1
763.6860928,6865.24037764,1
763.69966574,6865.25401368,1
764.28877068,6865.65369818,1
764.274514259116,6865.67471107384,1
764.56628233,6865.85906397,1
764.72316714822,6866.04940974559,1
765.09710028,6865.95807906,1
765.13419263,6865.95526117,1
765.185956647372,6865.93610345415,1
765.65253944,6865.68087337,1
766.29514105,6865.52671805,1
766.95568362,6865.54631922,1
767.319566352347,6865.60587162907,1
767.36596876,6865.58438971,1
767.71941173,6865.45214976,1
767.72059872,6865.45180525,1
768.44492979,6865.35287614,1
768.875510232533,6865.42136233944,1
768.87702972,6865.41079365,1
769.27010528,6865.46730713,1
769.66076673,6865.39599228,1
769.661950037603,6865.40247441794,1
770.31087889,6865.29421769,1
771.17535279,6865.45919347,1
