"E_km","N_km","group"
369.680005959274,6895.57189670099,1
377.988684712546,6784.05976760854,1
401.561163185866,6783.10009323324,1
490.094325049204,6781.88441915042,1
496.291706160374,6707.19833378892,1
540.650797006748,6707.3257128819,1
571.54530178644,6708.0120272118,1
608.958335177523,6709.19070081831,1
646.737377281766,6710.29270302902,1
750.93060238295,6716.02567766975,1
750.91462211363,6715.88086538879,1
750.909618677014,6715.80532799395,1
750.516416119789,6713.55116335987,1
748.627584636182,6708.9515240623,1
747.604472618169,6707.76429583311,1
747.131098693399,6706.61450794752,1
746.182370329047,6704.31599015407,1
743.030497380872,6701.86901306966,1
740.901798526783,6700.60964992023,1
738.699280485178,6700.46406805495,1
736.017727988822,6699.17187481278,1
734.436883354373,6697.95235455289,1
732.783635289366,6697.84589729461,1
730.649326292486,6696.59312056354,1
729.617619619354,6695.41127150131,1
727.963231583577,6695.30714112104,1
725.274594501035,6694.02262011985,1
723.135670128657,6692.77445558082,1
720.928645910837,6692.63963595388,1
718.788429699003,6691.39365441893,1
716.57972058631,6691.26153084202,1
713.884577247819,6689.98597145987,1
712.292737282708,6688.77628744478,1
700.691580523796,6688.11856916432,1
699.094957792881,6686.91526158184,1
697.98937896764,6686.85508339153,1
696.943907642026,6685.68224343207,1
696.391363000795,6685.65248194916,1
695.897695832182,6684.51025674822,1
695.404570248592,6683.36818000497,1
695.464139544871,6682.25525576241,1
694.970486030508,6681.11318088146,1
695.583315511883,6680.0299330594,1
695.089254219221,6678.88788728785,1
695.208059625201,6676.66260453342,1
688.059909181912,6675.17215086159,1
691.06385390559,6638.51078722844,1
754.880254810768,6642.3498838572,1
755.516177240151,6641.27661704229,1
758.315117011846,6641.47069799459,1
758.95219432122,6640.39770749818,1
761.192274773427,6640.5547823418,1
765.989989472525,6636.42600550372,1
766.630042205825,6635.35462244524,1
767.831817881833,6634.32340892397,1
769.113832914146,6632.18134736545,1
770.236379991134,6632.26274480356,1
771.440148923711,6631.23251954629,1
774.246909833152,6631.43842702641,1
775.848239927885,6632.6748145123,1
776.40906916203,6632.71656240852,1
776.887072422183,6633.86968661051,1
777.36561694861,6635.02295946501,1
777.842872638424,6636.17667709134,1
778.320643242295,6637.33015027004,1
777.82033226877,6643.99975306962,1
802.989918565486,6645.97452125987,1
806.551977235289,6609.35148372903,1
844.483016915107,6611.52636692951,1
853.411604615798,6613.47803599774,1
916.021544692381,6619.91629383352,1
920.780719688303,6582.26923291304,1
954.366608051054,6586.15062393814,1
958.750947413246,6549.57300499176,1
996.657607418584,6554.29941939962,1
1000.95450188424,6516.56605290111,1
1187.0415279318,6546.30870726193,1
1190.81143947982,6508.30576991757,1
1264.51078700836,6523.23166250396,1
1274.59512443496,6437.22289305463,1
1273.40650701657,6436.99295837246,1
1273.02524199675,6435.77731965013,1
1271.4542808466,6434.33210907678,1
1270.47659135427,6433.00217438013,1
1269.28678850666,6432.77355388333,1
1267.71341013484,6431.32991876674,1
1267.11875012693,6431.21610087785,1
1265.54400190633,6429.77379969292,1
1264.56324260625,6428.44511450009,1
1262.77714568033,6428.10524735782,1
1261.79501986158,6426.77776818074,1
1260.60356463933,6426.55190645212,1
1260.21673060322,6425.33777761933,1
1258.84528507718,6422.79668142059,1
1257.86034191068,6421.46984527443,1
1257.26433280327,6421.35756552667,1
1256.27838130439,6420.0316159863,1
1256.09588296785,6417.71607145217,1
1254.7179123839,6415.17661775818,1
1253.13197118313,6413.73982387932,1
1252.73959262315,6412.52607411788,1
1251.95548256598,6410.09935827744,1
1251.56191741224,6408.8861797701,1
1250.57097880243,6407.56160469985,1
1249.97206270194,6407.45044707426,1
1249.5783488123,6406.23759931894,1
1248.58505652931,6404.91345611371,1
1247.98667020673,6404.80277879521,1
1247.59094385462,6403.59004147979,1
1239.00436740922,6403.15220289541,1
1239.60813344639,6399.84509977681,1
1239.2101314662,6398.63349818382,1
1237.81262108449,6396.10084142332,1
1237.61371925553,6393.78664954904,1
1236.41142665592,6390.15204402457,1
1235.60931729011,6387.72933003426,1
1234.00490819739,6386.30068913988,1
1233.80035408523,6383.9866381182,1
1233.39742978778,6382.77579723599,1
1233.59583701824,6381.67317606477,1
1232.58973412978,6380.35360674792,1
1232.38366626359,6378.03977494563,1
1231.37583977856,6376.72099121755,1
1230.77347923287,6376.61314145237,1
1229.76483903526,6375.29438171719,1
1229.35905920155,6374.0840001554,1
1228.75538184292,6373.97634857836,1
1228.95206495082,6372.87312235274,1
1228.34915850207,6372.76567914393,1
1228.13871195699,6370.45259559453,1
1227.12719902021,6369.13463398474,1
1226.31044229285,6366.71396034972,1
1225.29708479358,6365.39695453073,1
1225.49228549836,6364.29354864996,1
1224.47873967057,6362.97692278575,1
1223.26913834193,6362.76355431142,1
1222.85905641302,6361.55395522636,1
1204.10425929763,6358.29565408532,1
1205.72383782139,6341.53001345888,1
1204.69650255641,6340.21843962858,1
1204.08902994199,6340.11489287331,1
1203.06072802114,6338.80420543127,1
1202.64049490545,6337.5970982681,1
1201.00297779036,6336.18338984408,1
1199.78596848905,6335.97748998948,1
1196.50685522499,6333.15369511985,1
1193.64740971658,6331.53905859168,1
1192.00476696191,6330.12925703213,1
1189.14198001859,6328.5179371771,1
1186.88750802356,6327.00967804625,1
1183.59249653305,6324.19692510091,1
1179.07404061122,6321.18776859501,1
1176.02195189495,6320.69076171707,1
1174.98008874896,6319.38743901459,1
1173.14839116185,6319.09086025375,1
1172.10518106329,6317.78878771729,1
1170.45068613987,6316.38828397611,1
1170.01763685064,6315.18526204544,1
1167.74937016308,6313.68806457994,1
1167.31514634401,6312.48491057954,1
1163.99753963117,6309.6892712062,1
1160.935173077,6301.27319058645,1
1159.88366026603,6299.97482963999,1
1159.44373997684,6298.77252959916,1
