"E_km","N_km","STATIONID","group"
742.02760005384,6099.11253077512,"A-01",1
741.8601819846,6099.10342208761,"A-01",1
741.79999163986,6100.21565785744,"A-01",1
740.52096507045,6100.14659155046,"A-01",1
739.18337222149,6101.18981292716,"A-01",1
738.54355444672,6101.15556735385,"A-01",1
738.48417830734,6102.26739208902,"A-01",1
737.20674492013,6102.19932063826,"A-01",1
735.8107828661,6104.35564893119,"A-01",1
734.53301380526,6104.28827807837,"A-01",1
734.47453687576,6105.40053748792,"A-01",1
733.19709193294,6105.33361209389,"A-01",1
732.50087695341,6106.41208580777,"A-01",1
731.86276497894,6106.37886249536,"A-01",1
731.1660343602,6107.45794625876,"A-01",1
729.89012128263,6107.39200130674,"A-01",1
729.19402818466,6108.47095298074,"A-01",1
728.55624270809,6108.43817088827,"A-01",1
727.86155944849,6109.51777926541,"A-01",1
727.22295073943,6109.48515882063,"A-01",1
726.52872890497,6110.56459742309,"A-01",1
725.89026750313,6110.53213161744,"A-01",1
725.19654983585,6111.61173449582,"A-01",1
724.55923547265,6111.57955308012,"A-01",1
723.17199582201,6113.73962885893,"A-01",1
722.53498918179,6113.70770097444,"A-01",1
721.14929326192,6115.86832747057,"A-01",1
720.51263916107,6115.83672945606,"A-01",1
718.64281305358,6118.75630310281,"A-01",1
739.96262107735,6119.81852237791,"A-01",1
742.02760005384,6099.11253077512,"A-01",1
780.17892544429,6084.97402085287,"A-02",2
779.27811545351,6085.66131576994,"A-02",2
776.06983181877,6085.46293548907,"A-02",2
775.35943590462,6086.53506082133,"A-02",2
773.43514067961,6086.41741878479,"A-02",2
772.72641584343,6087.49037540109,"A-02",2
771.44352166465,6087.41262640203,"A-02",2
770.73549469321,6088.48546147012,"A-02",2
768.81203271167,6088.36977283495,"A-02",2
768.10381178653,6089.44341029568,"A-02",2
766.82244844593,6089.36693600695,"A-02",2
766.11486485056,6090.44043681132,"A-02",2
764.19229542038,6090.32671807814,"A-02",2
764.12675773249,6091.438761226,"A-02",2
760.28262936447,6091.21387361535,"A-02",2
759.57783632749,6092.28836420952,"A-02",2
757.65614684682,6092.17746861587,"A-02",2
757.5922759426,6093.28910978929,"A-02",2
755.67106620908,6093.17905566936,"A-02",2
754.96668286745,6094.25459343865,"A-02",2
753.68684001324,6094.18188161404,"A-02",2
752.9830783198,6095.25734478444,"A-02",2
751.06277325472,6095.14920236284,"A-02",2
750.36081876108,6096.2254708223,"A-02",2
749.080562517,6096.15405094135,"A-02",2
748.37924532554,6097.23018484384,"A-02",2
747.09928807511,6097.15932128623,"A-02",2
746.39851012953,6098.23619966466,"A-02",2
744.47957135012,6098.13087294575,"A-02",2
744.41878728506,6099.24259199909,"A-02",2
742.02760005384,6099.11253077512,"A-02",2
739.96262107735,6119.81852237791,"A-02",2
776.68207264841,6121.95590103871,"A-02",2
780.25242556644,6084.97828979796,"A-02",2
780.17892544429,6084.97402085287,"A-02",2
813.37812113072,6124.39690982537,"A-03",3
816.83401186877,6087.4104182383,"A-03",3
780.25242556644,6084.97828979796,"A-03",3
776.68207264841,6121.95590103871,"A-03",3
813.37812113072,6124.39690982537,"A-03",3
850.06303766163,6127.14252041097,"A-04",4
853.40494057871,6090.14155721454,"A-04",4
816.83401186877,6087.4104182383,"A-04",4
813.37812113072,6124.39690982537,"A-04",4
850.06303766163,6127.14252041097,"A-04",4
886.74227597541,6130.19359155207,"A-05",5
889.96981782832,6093.17248422481,"A-05",5
853.40494057871,6090.14155721454,"A-05",5
850.06303766163,6127.14252041097,"A-05",5
886.74227597541,6130.19359155207,"A-05",5
925.52757356594,6108.35800125798,"A-06",6
923.14099817643,6108.13076015859,"A-06",6
920.47994599023,6108.99955311008,"A-06",6
919.20161470905,6108.87922022969,"A-06",6
917.38842481941,6107.58883605314,"A-06",6
915.47081076569,6107.40988550612,"A-06",6
913.11876567345,6104.95167625164,"A-06",6
912.58209916618,6103.78239188834,"A-06",6
911.40456634157,6102.55416820016,"A-06",6
911.50684856396,6101.44356665739,"A-06",6
911.0711820353,6099.16388748732,"A-06",6
910.53202276751,6097.99482905327,"A-06",6
909.99352636094,6096.82548022852,"A-06",6
910.15936638171,6095.01407961284,"A-06",6
889.96981782832,6093.17248422481,"A-06",6
886.74227597541,6130.19359155207,"A-06",6
923.40866192519,6133.55003021558,"A-06",6
925.52757356594,6108.35800125798,"A-06",6
960.10107369741,6136.59584220806,"A-07",7
956.41011245848,6136.08573227898,"A-07",7
926.5414239683,6133.1038940652,"A-07",7
928.99989514725,6107.57013403679,"A-07",7
927.72103074707,6107.44737189278,"A-07",7
926.33699628688,6108.4350570702,"A-07",7
925.52757356594,6108.35800125798,"A-07",7
923.40866192519,6133.55003021558,"A-07",7
960.05114057211,6137.21117459692,"A-07",7
960.10107369741,6136.59584220806,"A-07",7
718.64281305358,6118.75630310281,"B-01",8
718.43642732114,6119.07853090186,"B-01",8
717.80018081115,6119.04726999685,"B-01",8
717.74564844705,6120.15959238064,"B-01",8
717.10956239868,6120.12843044057,"B-01",8
716.41829040303,6121.20926977957,"B-01",8
715.72825250869,6122.29072888286,"B-01",8
715.09247407459,6122.25982109391,"B-01",8
713.76638802888,6123.31026087864,"B-01",8
713.13077253072,6123.27970111676,"B-01",8
713.07728307588,6124.39209612235,"B-01",8
712.44088872985,6124.36152126777,"B-01",8
711.75227714176,6125.44306757543,"B-01",8
711.11696916543,6125.412762236,"B-01",8
711.06394482034,6126.52518033952,"B-01",8
710.42784229625,6126.49492043774,"B-01",8
710.37503534991,6127.60692764631,"B-01",8
708.3119443733,6130.85323707651,"B-01",8
707.6774543538,6130.82336743573,"B-01",8
706.98988098289,6131.90601108124,"B-01",8
705.721134461,6131.84682061811,"B-01",8
705.66944246924,6132.95884300821,"B-01",8
705.03426005274,6132.92935168542,"B-01",8
704.34857531011,6134.01242738252,"B-01",8
703.71455542974,6133.98316123681,"B-01",8
703.66326872866,6135.09519201451,"B-01",8
703.02839371998,6135.06595576649,"B-01",8
702.34354281332,6136.14932648395,"B-01",8
701.70881474573,6136.12024596972,"B-01",8
701.34006403749,6136.70388678372,"B-01",8
699.47596332234,6154.96601063422,"B-01",8
736.29729406905,6156.79542875169,"B-01",8
739.96262107735,6119.81852237791,"B-01",8
718.64281305358,6118.75630310281,"B-01",8
773.12329238979,6158.9354177521,"B-02",9
776.68207264841,6121.95590103871,"B-02",9
739.96262107735,6119.81852237791,"B-02",9
736.29729406905,6156.79542875169,"B-02",9
773.12329238979,6158.9354177521,"B-02",9
809.92656125188,6161.38468380756,"B-03",10
813.37812113072,6124.39690982537,"B-03",10
776.68207264841,6121.95590103871,"B-03",10
773.12329238979,6158.9354177521,"B-03",10
809.92656125188,6161.38468380756,"B-03",10
846.71725665781,6164.14406017455,"B-04",11
850.06303766163,6127.14252041097,"B-04",11
813.37812113072,6124.39690982537,"B-04",11
809.92656125188,6161.38468380756,"B-04",11
846.71725665781,6164.14406017455,"B-04",11
883.50166270526,6167.21446087158,"B-05",12
886.74227597541,6130.19359155207,"B-05",12
850.06303766163,6127.14252041097,"B-05",12
846.71725665781,6164.14406017455,"B-05",12
883.50166270526,6167.21446087158,"B-05",12
920.27257801324,6170.5957941698,"B-06",13
923.40866192519,6133.55003021558,"B-06",13
886.74227597541,6130.19359155207,"B-06",13
883.50166270526,6167.21446087158,"B-06",13
920.27257801324,6170.5957941698,"B-06",13
957.01895305482,6174.28739935227,"B-07",14
960.05114057211,6137.21117459692,"B-07",14
923.40866192519,6133.55003021558,"B-07",14
920.27257801324,6170.5957941698,"B-07",14
957.01895305482,6174.28739935227,"B-07",14
994.0150165647,6174.95081184375,"B-08",15
993.8171380042,6174.92831721008,"B-08",15
