"Year","Latitude","Longitude","Area_swept","Biomass","Category"
2008,60.67245,-175.4259,1,791.500099923323,"1"
2008,60.68857,-176.2099,1,14727.6395433684,"1"
2008,60.66818,-176.76961,1,6206.04446678774,"1"
2008,60.66968,-177.53349,1,24864.543114197,"1"
2008,60.6783,-178.19679,1,34779.4888966463,"1"
2008,60.98484,-171.4328,1,0,"1"
2008,61.00291,-172.1485,1,0,"1"
2008,60.99829,-172.78819,1,0,"1"
2008,60.99398,-173.50661,1,0,"1"
2008,60.99114,-174.188,1,0,"1"
2008,61.00708,-174.8877,1,0,"1"
2008,61.00324,-175.5463,1,8197.0411830824,"1"
2008,61.00877,-176.30409,1,15118.0974529331,"1"
2008,61.00046,-176.99429,1,47701.6366046475,"1"
2008,60.9966,-177.6364,1,15150.3127116645,"1"
2008,61.32504,-173.5834,1,0,"1"
2008,61.32098,-174.32629,1,0,"1"
2008,61.32752,-174.9799,1,0,"1"
2008,61.30172,-175.653,1,344.555458886751,"1"
2008,61.34265,-176.33859,1,2194.65154837455,"1"
2008,61.33382,-176.9286,1,4516.80922743261,"1"
2008,61.65549,-173.6673,1,0,"1"
2008,61.65435,-174.403,1,0,"1"
2008,61.67654,-175.0699,1,0,"1"
2008,61.68847,-175.787,1,7168.77216335001,"1"
2008,61.68029,-176.4406,1,7243.07273138973,"1"
2008,61.97633,-173.7496,1,0,"1"
2008,62.00028,-174.48,1,0,"1"
2008,62.00132,-175.158,1,0,"1"
2008,62.01044,-175.8268,1,25536.4710962151,"1"
2008,54.68328,-165.14771,1,0,"1"
2009,54.99018,-166.92889,1,197.743135880393,"1"
2009,54.97957,-166.3364,1,262.784865476974,"1"
2009,54.99879,-165.7193,1,856.141261835693,"1"
2009,55.00525,-165.1514,1,6059.08343972346,"1"
2009,55.01582,-164.5976,1,40509.4905455329,"1"
2009,54.83187,-165.5125,1,549.857709658833,"1"
2009,55.34435,-167.5498,1,110.415194513728,"1"
2009,55.33194,-166.96831,1,0,"1"
2009,55.32758,-166.3438,1,0,"1"
2009,55.34632,-165.79359,1,37.6664475381572,"1"
2009,55.3325,-165.1731,1,309.567850877251,"1"
2009,55.32846,-164.5703,1,14397.9470329744,"1"
2009,55.32518,-164.0352,1,1482.04429340588,"1"
2009,55.34574,-163.3933,1,4056.77062673987,"1"
2009,55.65928,-167.5865,1,16.9217598147363,"1"
2009,55.6824,-166.9785,1,19.2099906493602,"1"
2009,55.68624,-166.3972,1,0,"1"
2009,55.6652,-165.8017,1,0,"1"
2009,55.66082,-165.183,1,51.2016967254254,"1"
2009,55.63505,-164.58321,1,1808.69908098161,"1"
2009,55.69225,-164.0126,1,194.833657827486,"1"
2009,55.67636,-163.4057,1,1430.55352487719,"1"
2009,55.67551,-162.8062,1,0,"1"
2009,55.68395,-168.1972,1,1250.73561799533,"1"
2009,56.00244,-167.60539,1,0,"1"
2009,56.06985,-166.99809,1,0,"1"
2009,56.01266,-166.3985,1,0,"1"
2009,55.98445,-165.7863,1,38.1149649468717,"1"
2009,55.99698,-165.14011,1,437.02158078199,"1"
2009,56.00357,-164.59689,1,95.7675424030497,"1"
2009,55.98878,-164.0396,1,0,"1"
2009,55.99553,-163.3885,1,0,"1"
2009,55.99738,-162.8606,1,0,"1"
2009,56.00307,-162.2547,1,105.471620871433,"1"
2009,55.99634,-168.2323,1,173.41790750622,"1"
2009,56.33301,-167.65939,1,0,"1"
