"","VESSEL","HAUL","YEAR","CRUISE","START_TIME","DURATION","DISTANCE_FISHED","NET_WIDTH","STRATUM","START_LATITUDE","END_LATITUDE","START_LONGITUDE","END_LONGITUDE","STATIONID","GEAR_DEPTH","BOTTOM_DEPTH","BOTTOM_TYPE","SURFACE_TEMPERATURE","GEAR_TEMPERATURE","CPUE_NOHA"
"1",1,1,1982,198203,"1982-05-29 07:00:00",0.5,2.667,16.055,10,58.015,57.99667,-158.31667,-158.32,"J-16",37,37,0,2.3,0.5,0
"2",1,1,1983,198303,"1983-06-08 06:00:00",0.5,2.704,15.466,10,56.6565,56.68167,-159.75717,-159.75,"F-14",35,35,0,8.2,5.6,0
"3",1,1,1984,198402,"1984-06-09 16:00:00",0.5,2.834,15.466,10,57.30067,57.31917,-158.44917,-158.4165,"H-16",31,31,0,6,NA,0
"4",1,2,1982,198203,"1982-05-29 09:00:00",0.5,2.889,16.055,10,57.67167,57.645,-158.36,-158.35667,"I-16",38,38,0,1.1,-0.6,0
"5",1,2,1983,198303,"1983-06-08 09:00:00",0.5,2.667,16.404,10,56.993,57.01433,-159.70933,-159.709,"G-14",55,55,0,8.3,3.8,0
"6",1,2,1984,198402,"1984-06-10 06:00:00",0.5,2.871,16.055,10,57.65167,57.677,-158.354,-158.35833,"I-16",37,37,0,4.9,5.1,0
"7",1,3,1982,198203,"1982-05-29 13:00:00",0.5,2.667,16.44,10,57.33833,57.31333,-158.41,-158.4,"H-16",29,29,0,2.4,0.5,0
"8",1,3,1983,198303,"1983-06-08 14:00:00",0.5,2.704,16.44,10,57.30917,57.33233,-159.68333,-159.70817,"H-14",57,57,0,7.7,4.2,0
"9",1,3,1984,198402,"1984-06-10 09:00:00",0.5,2.926,16.055,10,57.9885,58.01483,-158.31417,-158.30467,"J-16",38,38,0,5.8,5.8,0
"10",1,4,1982,198203,"1982-05-29 20:00:00",0.5,2.889,16.44,10,56.685,56.66833,-159.76,-159.79333,"F-14",40,40,0,2.8,0.7,0
"11",1,4,1983,198303,"1983-06-08 17:00:00",0.5,2.889,16.055,10,57.65967,57.68217,-159.61833,-159.63883,"I-14",49,49,0,7.6,4.4,0
"12",1,4,1984,198402,"1984-06-10 14:00:00",0.5,2.797,14.48,10,58.32717,58.32717,-159.543,-159.59083,"K-14",26,26,0,6.4,6,0
"13",1,5,1983,198303,"1983-06-09 06:00:00",0.5,2.704,16.055,10,57.9895,58.01333,-159.59783,-159.59167,"J-14",44,44,0,8.8,4.6,0
"14",1,5,1984,198402,"1984-06-10 17:00:00",0.5,2.778,16.055,10,58.006,57.98067,-159.61167,-159.61267,"J-14",42,42,0,6.6,3.9,0
"15",1,6,1982,198203,"1982-06-05 10:00:00",0.5,2.685,16.454,10,56.99333,57.00333,-159.72333,-159.69,"G-14",59,59,0,0.8,0.4,0
"16",1,6,1983,198303,"1983-06-09 10:00:00",0.5,2.815,14.205,10,58.31533,58.33733,-159.5405,-159.56217,"K-14",26,26,0,9.5,5.8,0
"17",1,6,1984,198402,"1984-06-11 06:00:00",0.5,2.852,16.44,10,57.673,57.64867,-159.63617,-159.64717,"I-14",51,51,0,3.1,3.4,0
"18",1,7,1982,198203,"1982-06-05 13:00:00",0.5,2.519,16.44,10,57.31667,57.33833,-159.66333,-159.67167,"H-14",59,59,0,1.8,0.6,0
"19",1,7,1983,198303,"1983-06-09 15:00:00",0.5,2.574,12.499,10,58.32983,58.32067,-160.73383,-160.7735,"K-12",22,22,0,9,8.5,0
"20",1,7,1984,198402,"1984-06-11 09:00:00",0.5,2.815,16.44,10,57.34133,57.31633,-159.66883,-159.66383,"H-14",59,59,0,4.5,3.8,0
"21",1,8,1982,198203,"1982-06-05 16:00:00",0.5,2.037,16.44,10,57.65,57.66833,-159.64167,-159.64167,"I-14",55,55,0,1,0.3,0
